2026-07-22 10:25:45,922 | INFO | loader | PDF Loaded 2 pages from data/gen ai resume.pdf
2026-07-22 10:25:45,923 | INFO | chunker | Created 1 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 2 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 3 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 4 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 5 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 6 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 7 chunks
2026-07-22 10:25:45,923 | INFO | chunker | Created 8 chunks
